"Customer ID",Age,Age Group,Postcode,Gender,"Favourite Cookie","Cookies bought each week"
1001,60,60-69,2000,M,Choc chip,1
1002,53,50-59,2010,M,Choc chip,1
1003,22,20-29,2010,F,Choc chip,2
1004,30,30-39,2010,F,Choc chip,6
1005,52,50-59,2010,F,Macadamia,3
1006,22,20-29,2022,F,Macadamia,3
1007,26,20-29,2010,F,Macadamia,8
1008,40,40-49,2022,F,Triple choc,2
1009,42,40-49,2022,F,Granola,1
1010,22,20-29,2000,M,Granola,3
1011,18,10-19,2000,F,Macadamia,6
1012,33,30-39,2873,M,Macadamia,6
1013,32,30-39,2000,M,Macadamia,6
1014,29,20-29,2000,M,Macadamia,3
1015,58,50-59,2000,M,Triple choc,3
1016,36,30-39,2000,F,Mint,2
1017,37,30-39,2000,F,Choc chip,2
1018,46,40-49,2321,F,Choc chip,1
1019,68,60-69,2000,F,Triple choc,4
1020,64,60-69,2000,F,Macadamia,3
1021,34,30-39,2000,F,Macadamia,3
1022,66,60-69,2000,M,Macadamia,3
1023,61,60-69,2000,M,Macadamia,4
1024,55,50-59,2000,M,Mint,5
1025,42,40-49,2210,F,Choc chip,9
1026,57,50-59,2030,M,Choc chip,0
1027,32,30-39,2763,M,Salted caramel,1
1028,17,10-19,2331,F,Granola,10
1029,17,10-19,2331,F,Granola,11
1030,18,10-19,2344,F,Choc chip,20
1031,22,20-29,2093,F,Choc chip,1
1032,19,10-19,2444,F,Mint,1
1033,19,10-19,2000,M,Salted caramel,1
1034,16,10-19,2332,F,Triple choc,1
1035,17,10-19,2333,M,Macadamia,4
1036,12,10-19,2347,M,Triple choc,1
1037,33,30-39,2093,M,Granola,1
1038,21,20-29,2001,M,Granola,1
1039,20,20-29,2210,M,Macadamia,11
1040,25,20-29,2211,F,Macadamia,2
1041,31,30-39,2222,F,Macadamia,3
1042,29,20-29,2019,F,Macadamia,3
1043,45,40-49,2000,F,Triple choc,3
1044,44,40-49,2000,F,Mint,3
1045,17,10-19,2321,M,Choc chip,2
1046,13,10-19,2321,F,Choc chip,7
